+-----------+---------+----------------+----------+------------+----------+
|   OPCODE  | CHANNEL |      REG       | RAM_ADDR |  RAW_DATA  | DELAY_MS |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.272   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14940a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15340a00 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   |  0x59ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   |  0x998400  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x33dca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x150d8600 |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x370ca00  |  0.271   |
| RAM-WRITE |    0    |                |  0x54f   | 0x80d0400  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x459c200  |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14458600 |  0.289   |
| RAM-WRITE |    0    |                |  0x54f   | 0x7080000  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x708ca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x370c400  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc400  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14658600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x469c000  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14658600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x7080a00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x40dca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14ad8600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x8350000  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c8c200  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x19b80a00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x469ca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15518600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c4c000  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x6c80a00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   |  0xbdca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15518600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x329ca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15518600 |  0.280   |
